image_id,proposed_iou,proposed_dice,diff_id_iou,diff_id_dice,two_stream_iou,two_stream_dice,xceptionnet_iou,xceptionnet_dice,segformer_iou,segformer_dice
0,0.964346,0.98185,0.975949,0.987828,0.976957,0.988344,0.948056,0.973336,0.981676,0.990753
1,0.945283,0.971872,0.963294,0.981304,0.954531,0.976737,0.945118,0.971785,0.966894,0.983168
2,0.939778,0.968954,0.980417,0.990112,0.966762,0.9831,0.924647,0.960848,0.971241,0.985411
3,0.959202,0.979176,0.955804,0.977402,0.95625,0.977636,0.963339,0.981327,0.944346,0.971377
4,0.944088,0.97124,0.963947,0.981643,0.952417,0.975629,0.936741,0.967338,0.96138,0.98031
5,0.957143,0.978102,0.972445,0.98603,0.985366,0.992629,0.942485,0.970391,0.966096,0.982756
6,0.962838,0.981067,0.963455,0.981387,0.977144,0.98844,0.932281,0.964954,0.971229,0.985405
7,0.934415,0.966096,0.96358,0.981452,0.965913,0.982661,0.941156,0.969686,0.961353,0.980296
8,0.961085,0.980157,0.976403,0.988061,0.967337,0.983397,0.949928,0.974321,0.971986,0.985794
9,0.949146,0.97391,0.975552,0.987625,0.958873,0.979005,0.959305,0.97923,0.97763,0.988688
10,0.966412,0.982919,0.966214,0.982817,0.969292,0.984407,0.896641,0.945504,0.981855,0.990844
11,0.956571,0.977803,0.950454,0.974598,0.980288,0.990046,0.902146,0.948556,0.977393,0.988567
12,0.983782,0.991825,0.974435,0.987052,0.972933,0.986281,0.951327,0.975057,0.958395,0.978756
13,0.955213,0.977094,0.98323,0.991544,0.976078,0.987894,0.928623,0.962991,0.973866,0.98676
14,0.911417,0.953656,0.92529,0.961195,0.926534,0.961866,0.906842,0.951145,0.930169,0.963821
15,0.952413,0.975627,0.969336,0.984429,0.97096,0.985266,0.948234,0.97343,0.970072,0.984809
16,0.958755,0.978943,0.977314,0.988527,0.974564,0.987118,0.90939,0.952545,0.977842,0.988797
17,0.911701,0.953811,0.910453,0.953128,0.92213,0.959487,0.872465,0.931889,0.914368,0.955269
18,0.955252,0.977114,0.970373,0.984964,0.977099,0.988417,0.954574,0.976759,0.947873,0.973239
19,0.970946,0.985259,0.967655,0.983562,0.943092,0.970713,0.948615,0.97363,0.966005,0.982708
20,0.952741,0.975799,0.96815,0.983818,0.96594,0.982675,0.915997,0.956157,0.962481,0.980882
21,0.942952,0.970638,0.949816,0.974262,0.953317,0.976101,0.938317,0.968177,0.938759,0.968412
22,0.955367,0.977174,0.96045,0.979826,0.972297,0.985954,0.928896,0.963137,0.967892,0.983684
23,0.959176,0.979162,0.976447,0.988083,0.980361,0.990083,0.979167,0.989474,0.981884,0.990859
24,0.954683,0.976816,0.952791,0.975825,0.962082,0.980675,0.897689,0.946086,0.964042,0.981692
25,0.925302,0.961202,0.979213,0.989497,0.969886,0.984713,0.970037,0.984791,0.968113,0.983798
26,0.971107,0.985342,0.971461,0.985524,0.976946,0.988339,0.96367,0.981499,0.96972,0.984627
27,0.950502,0.974623,0.940991,0.969598,0.939246,0.968671,0.791852,0.883836,0.934866,0.966337
28,0.913205,0.954634,0.985646,0.992771,0.982136,0.990988,0.954093,0.976507,0.970219,0.984884
29,0.894423,0.94427,0.947195,0.972881,0.955224,0.977099,0.936051,0.966969,0.961144,0.980187
30,0.973053,0.986342,0.962514,0.980899,0.961101,0.980165,0.933608,0.965664,0.970795,0.985181
31,0.96374,0.981535,0.955972,0.977491,0.966309,0.982866,0.939864,0.969,0.968345,0.983918
32,0.868167,0.929432,0.951017,0.974894,0.970389,0.984972,0.868347,0.929535,0.96613,0.982773
33,0.924182,0.960597,0.941106,0.96966,0.956158,0.977588,0.807692,0.893617,0.981724,0.990778
34,0.891111,0.942421,0.958202,0.978655,0.943492,0.970924,0.974587,0.98713,0.943301,0.970823
35,0.972372,0.985992,0.973761,0.986706,0.973837,0.986745,0.922581,0.959732,0.980534,0.990171
36,0.962358,0.980818,0.961346,0.980292,0.959893,0.979536,0.930542,0.964022,0.937316,0.967644
37,0.903969,0.949563,0.939908,0.969023,0.936891,0.967417,0.908822,0.952233,0.965278,0.982332
38,0.968198,0.983842,0.971105,0.985341,0.966862,0.983152,0.936112,0.967002,0.973005,0.986318
39,0.945407,0.971938,0.959318,0.979236,0.95041,0.974574,0.828996,0.906504,0.982605,0.991226
40,0.961422,0.980332,0.978926,0.989351,0.97762,0.988683,0.94608,0.972293,0.966823,0.983132
41,0.965855,0.982631,0.98307,0.991463,0.978134,0.988946,0.94086,0.969529,0.979592,0.989691
42,0.933965,0.965855,0.976142,0.987927,0.965622,0.98251,0.953199,0.976039,0.976426,0.988073
43,0.950219,0.974474,0.959442,0.979301,0.961245,0.98024,0.917001,0.956704,0.937639,0.967816
44,0.95883,0.978982,0.972018,0.985811,0.970466,0.985011,0.933333,0.965517,0.979742,0.989767
45,0.909996,0.952878,0.952222,0.975526,0.933581,0.96565,0.926784,0.962001,0.955048,0.977007
46,0.938161,0.968094,0.950209,0.974469,0.946459,0.972493,0.915848,0.956076,0.97033,0.984942
47,0.962399,0.980839,0.968694,0.984098,0.958959,0.979049,0.967183,0.983318,0.978142,0.98895
48,0.965913,0.982661,0.971477,0.985532,0.975091,0.987389,0.941826,0.970042,0.975259,0.987475
49,0.966972,0.983209,0.973692,0.986671,0.978254,0.989008,0.969771,0.984654,0.973473,0.986558
50,0.958602,0.978864,0.976581,0.988152,0.976099,0.987905,0.91564,0.955963,0.969004,0.984258
51,0.892814,0.943372,0.951849,0.97533,0.932047,0.964828,0.875865,0.933825,0.944801,0.971617
52,0.958563,0.978843,0.977662,0.988705,0.972491,0.986054,0.960586,0.979897,0.968551,0.984024
53,0.96238,0.980829,0.981553,0.99069,0.961199,0.980215,0.893674,0.943852,0.980549,0.990179
54,0.967984,0.983731,0.983983,0.991927,0.977273,0.988506,0.927002,0.962119,0.972693,0.986157
55,0.893511,0.943761,0.91526,0.955755,0.916214,0.956275,0.871957,0.9316,0.914836,0.955524
56,0.948609,0.973627,0.972341,0.985977,0.966522,0.982976,0.960252,0.979723,0.980548,0.990178
57,0.945525,0.972,0.968142,0.983813,0.965336,0.982362,0.933946,0.965845,0.953043,0.975957
58,0.947327,0.972951,0.94499,0.971717,0.921576,0.959188,0.946042,0.972273,0.936601,0.967263
59,0.934566,0.966176,0.968528,0.984012,0.954562,0.976753,0.918681,0.957617,0.97561,0.987654
60,0.9136,0.954849,0.970525,0.985042,0.953904,0.976408,0.938038,0.968028,0.949566,0.974131
61,0.929213,0.963308,0.953022,0.975946,0.962401,0.98084,0.756388,0.861299,0.959641,0.979405
62,0.961435,0.980338,0.958703,0.978916,0.969496,0.984512,0.909509,0.95261,0.953604,0.976251
63,0.925585,0.961355,0.961129,0.980179,0.957685,0.978385,0.875198,0.933446,0.96583,0.982618
64,0.971982,0.985792,0.982112,0.990975,0.984033,0.991952,0.970052,0.984798,0.978812,0.989293
65,0.971982,0.985792,0.982112,0.990975,0.984033,0.991952,0.970052,0.984798,0.978812,0.989293
66,0.940847,0.969522,0.975565,0.987632,0.963886,0.981611,0.937249,0.967608,0.959455,0.979308
67,0.956021,0.977516,0.942543,0.970422,0.95603,0.977521,0.940076,0.969113,0.9575,0.978289
68,0.955144,0.977058,0.977475,0.988609,0.973042,0.986337,0.968631,0.984066,0.973354,0.986497
69,0.942083,0.970178,0.950113,0.974418,0.959546,0.979356,0.891967,0.942899,0.959283,0.979218
70,0.972061,0.985833,0.972253,0.985931,0.975255,0.987472,0.931521,0.964547,0.973809,0.986731
71,0.946816,0.972681,0.938876,0.968475,0.939105,0.968596,0.932169,0.964894,0.945124,0.971788
72,0.96474,0.982054,0.974638,0.987156,0.981407,0.990616,0.93923,0.968663,0.976906,0.988318
73,0.964592,0.981977,0.979666,0.989729,0.97044,0.984998,0.95207,0.975446,0.975155,0.987421
74,0.973529,0.986587,0.976013,0.987861,0.954399,0.976668,0.975321,0.987506,0.973538,0.986592
75,0.958418,0.978768,0.972581,0.9861,0.962933,0.981117,0.932746,0.965203,0.978482,0.989124
76,0.924938,0.961005,0.944155,0.971276,0.953733,0.976319,0.853072,0.920711,0.952847,0.975854
77,0.934269,0.966018,0.964139,0.981742,0.956916,0.977984,0.881967,0.937282,0.954907,0.976934
