image_id,proposed_iou,proposed_dice,proposed_bf_score,diff_id_iou,diff_id_dice,diff_id_bf_score,diff_iou,diff_dice,diff_bf_score
0,0.964346,0.98185,1,0.975949,0.987828,1,-0.011603,-0.005978,0
1,0.945283,0.971872,1,0.963294,0.981304,1,-0.018011,-0.009432,0
2,0.939778,0.968954,0.933735,0.980417,0.990112,1,-0.040639,-0.021158,-0.066265
3,0.959202,0.979176,1,0.955804,0.977402,1,0.003398,0.001774,0
4,0.944088,0.97124,1,0.963947,0.981643,1,-0.019859,-0.010403,0
5,0.957143,0.978102,1,0.972445,0.98603,1,-0.015302,-0.007928,0
6,0.962838,0.981067,1,0.963455,0.981387,1,-0.000617,-0.00032,0
7,0.934415,0.966096,0.983333,0.96358,0.981452,1,-0.029165,-0.015356,-0.016667
8,0.961085,0.980157,1,0.976403,0.988061,1,-0.015318,-0.007904,0
9,0.949146,0.97391,1,0.975552,0.987625,1,-0.026406,-0.013715,0
10,0.966412,0.982919,1,0.966214,0.982817,1,0.000198,0.000102,0
11,0.956571,0.977803,1,0.950454,0.974598,1,0.006117,0.003205,0
12,0.983782,0.991825,1,0.974435,0.987052,1,0.009347,0.004773,0
13,0.955213,0.977094,1,0.98323,0.991544,1,-0.028017,-0.01445,0
14,0.911417,0.953656,0.92385,0.92529,0.961195,1,-0.013873,-0.007539,-0.07615
15,0.952413,0.975627,1,0.969336,0.984429,1,-0.016923,-0.008802,0
16,0.958755,0.978943,1,0.977314,0.988527,1,-0.018559,-0.009584,0
17,0.911701,0.953811,0.816151,0.910453,0.953128,0.811529,0.001248,0.000683,0.004622
18,0.955252,0.977114,1,0.970373,0.984964,1,-0.015121,-0.00785,0
19,0.970946,0.985259,1,0.967655,0.983562,1,0.003291,0.001697,0
20,0.952741,0.975799,1,0.96815,0.983818,1,-0.015409,-0.008019,0
21,0.942952,0.970638,1,0.949816,0.974262,1,-0.006864,-0.003624,0
22,0.955367,0.977174,0.988165,0.96045,0.979826,1,-0.005083,-0.002652,-0.011835
23,0.959176,0.979162,1,0.976447,0.988083,1,-0.017271,-0.008921,0
24,0.954683,0.976816,1,0.952791,0.975825,1,0.001892,0.000991,0
25,0.925302,0.961202,1,0.979213,0.989497,1,-0.053911,-0.028295,0
26,0.971107,0.985342,1,0.971461,0.985524,1,-0.000354,-0.000182,0
27,0.950502,0.974623,1,0.940991,0.969598,0.977647,0.009511,0.005025,0.022353
28,0.913205,0.954634,0.899552,0.985646,0.992771,1,-0.072441,-0.038137,-0.100448
29,0.894423,0.94427,0.901961,0.947195,0.972881,1,-0.052772,-0.028611,-0.098039
30,0.973053,0.986342,1,0.962514,0.980899,1,0.010539,0.005443,0
31,0.96374,0.981535,1,0.955972,0.977491,1,0.007768,0.004044,0
32,0.868167,0.929432,0.782281,0.951017,0.974894,1,-0.08285,-0.045462,-0.217719
33,0.924182,0.960597,0.969591,0.941106,0.96966,1,-0.016924,-0.009063,-0.030409
34,0.891111,0.942421,0.934979,0.958202,0.978655,1,-0.067091,-0.036234,-0.065021
35,0.972372,0.985992,1,0.973761,0.986706,1,-0.001389,-0.000714,0
36,0.962358,0.980818,1,0.961346,0.980292,1,0.001012,0.000526,0
37,0.903969,0.949563,0.892052,0.939908,0.969023,1,-0.035939,-0.01946,-0.107948
38,0.968198,0.983842,1,0.971105,0.985341,1,-0.002907,-0.001499,0
39,0.945407,0.971938,1,0.959318,0.979236,1,-0.013911,-0.007298,0
40,0.961422,0.980332,1,0.978926,0.989351,1,-0.017504,-0.009019,0
41,0.965855,0.982631,1,0.98307,0.991463,1,-0.017215,-0.008832,0
42,0.933965,0.965855,0.972421,0.976142,0.987927,1,-0.042177,-0.022072,-0.027579
43,0.950219,0.974474,1,0.959442,0.979301,1,-0.009223,-0.004827,0
44,0.95883,0.978982,1,0.972018,0.985811,1,-0.013188,-0.006829,0
45,0.909996,0.952878,0.858404,0.952222,0.975526,1,-0.042226,-0.022648,-0.141596
46,0.938161,0.968094,1,0.950209,0.974469,1,-0.012048,-0.006375,0
