image_id,proposed_iou,proposed_dice,proposed_bf_score,segformer_iou,segformer_dice,segformer_bf_score,diff_iou,diff_dice,diff_bf_score
0,0.964346,0.98185,1,0.981676,0.990753,1,-0.01733,-0.008903,0
1,0.945283,0.971872,1,0.966894,0.983168,1,-0.021611,-0.011296,0
2,0.939778,0.968954,0.933735,0.971241,0.985411,1,-0.031463,-0.016457,-0.066265
3,0.959202,0.979176,1,0.944346,0.971377,1,0.014856,0.007799,0
4,0.944088,0.97124,1,0.96138,0.98031,1,-0.017292,-0.00907,0
5,0.957143,0.978102,1,0.966096,0.982756,1,-0.008953,-0.004654,0
6,0.962838,0.981067,1,0.971229,0.985405,1,-0.008391,-0.004338,0
7,0.934415,0.966096,0.983333,0.961353,0.980296,1,-0.026938,-0.0142,-0.016667
8,0.961085,0.980157,1,0.971986,0.985794,1,-0.010901,-0.005637,0
9,0.949146,0.97391,1,0.97763,0.988688,1,-0.028484,-0.014778,0
10,0.966412,0.982919,1,0.981855,0.990844,1,-0.015443,-0.007925,0
11,0.956571,0.977803,1,0.977393,0.988567,1,-0.020822,-0.010764,0
12,0.983782,0.991825,1,0.958395,0.978756,1,0.025387,0.013069,0
13,0.955213,0.977094,1,0.973866,0.98676,1,-0.018653,-0.009666,0
14,0.911417,0.953656,0.92385,0.930169,0.963821,0.959044,-0.018752,-0.010165,-0.035194
15,0.952413,0.975627,1,0.970072,0.984809,1,-0.017659,-0.009182,0
16,0.958755,0.978943,1,0.977842,0.988797,1,-0.019087,-0.009854,0
17,0.911701,0.953811,0.816151,0.914368,0.955269,0.851088,-0.002667,-0.001458,-0.034937
18,0.955252,0.977114,1,0.947873,0.973239,1,0.007379,0.003875,0
19,0.970946,0.985259,1,0.966005,0.982708,1,0.004941,0.002551,0
20,0.952741,0.975799,1,0.962481,0.980882,1,-0.00974,-0.005083,0
21,0.942952,0.970638,1,0.938759,0.968412,1,0.004193,0.002226,0
22,0.955367,0.977174,0.988165,0.967892,0.983684,1,-0.012525,-0.00651,-0.011835
23,0.959176,0.979162,1,0.981884,0.990859,1,-0.022708,-0.011697,0
24,0.954683,0.976816,1,0.964042,0.981692,1,-0.009359,-0.004876,0
25,0.925302,0.961202,1,0.968113,0.983798,1,-0.042811,-0.022596,0
26,0.971107,0.985342,1,0.96972,0.984627,1,0.001387,0.000715,0
27,0.950502,0.974623,1,0.934866,0.966337,1,0.015636,0.008286,0
28,0.913205,0.954634,0.899552,0.970219,0.984884,1,-0.057014,-0.03025,-0.100448
29,0.894423,0.94427,0.901961,0.961144,0.980187,1,-0.066721,-0.035917,-0.098039
30,0.973053,0.986342,1,0.970795,0.985181,1,0.002258,0.001161,0
31,0.96374,0.981535,1,0.968345,0.983918,1,-0.004605,-0.002383,0
32,0.868167,0.929432,0.782281,0.96613,0.982773,1,-0.097963,-0.053341,-0.217719
33,0.924182,0.960597,0.969591,0.981724,0.990778,1,-0.057542,-0.030181,-0.030409
34,0.891111,0.942421,0.934979,0.943301,0.970823,1,-0.05219,-0.028402,-0.065021
35,0.972372,0.985992,1,0.980534,0.990171,1,-0.008162,-0.004179,0
36,0.962358,0.980818,1,0.937316,0.967644,0.994594,0.025042,0.013174,0.005406
37,0.903969,0.949563,0.892052,0.965278,0.982332,1,-0.061309,-0.032769,-0.107948
38,0.968198,0.983842,1,0.973005,0.986318,1,-0.004807,-0.002476,0
39,0.945407,0.971938,1,0.982605,0.991226,1,-0.037198,-0.019288,0
40,0.961422,0.980332,1,0.966823,0.983132,1,-0.005401,-0.0028,0
41,0.965855,0.982631,1,0.979592,0.989691,1,-0.013737,-0.00706,0
42,0.933965,0.965855,0.972421,0.976426,0.988073,1,-0.042461,-0.022218,-0.027579
43,0.950219,0.974474,1,0.937639,0.967816,0.978778,0.01258,0.006658,0.021222
44,0.95883,0.978982,1,0.979742,0.989767,1,-0.020912,-0.010785,0
45,0.909996,0.952878,0.858404,0.955048,0.977007,1,-0.045052,-0.024129,-0.141596
46,0.938161,0.968094,1,0.97033,0.984942,1,-0.032169,-0.016848,0
47,0.962399,0.980839,1,0.978142,0.98895,1,-0.015743,-0.008111,0
48,0.965913,0.982661,1,0.975259,0.987475,1,-0.009346,-0.004814,0
49,0.966972,0.983209,1,0.973473,0.986558,1,-0.006501,-0.003349,0
50,0.958602,0.978864,1,0.969004,0.984258,1,-0.010402,-0.005394,0
51,0.892814,0.943372,0.94175,0.944801,0.971617,1,-0.051987,-0.028245,-0.05825
52,0.958563,0.978843,0.994253,0.968551,0.984024,1,-0.009988,-0.005181,-0.005747
53,0.96238,0.980829,1,0.980549,0.990179,1,-0.018169,-0.00935,0
54,0.967984,0.983731,1,0.972693,0.986157,1,-0.004709,-0.002426,0
55,0.893511,0.943761,0.794498,0.914836,0.955524,0.955768,-0.021325,-0.011763,-0.16127
56,0.948609,0.973627,1,0.980548,0.990178,1,-0.031939,-0.016551,0
57,0.945525,0.972,1,0.953043,0.975957,1,-0.007518,-0.003957,0
58,0.947327,0.972951,1,0.936601,0.967263,0.917773,0.010726,0.005688,0.082227
59,0.934566,0.966176,1,0.97561,0.987654,1,-0.041044,-0.021478,0
60,0.9136,0.954849,0.987836,0.949566,0.974131,1,-0.035966,-0.019282,-0.012164
61,0.929213,0.963308,0.913272,0.959641,0.979405,1,-0.030428,-0.016097,-0.086728
62,0.961435,0.980338,1,0.953604,0.976251,0.994169,0.007831,0.004087,0.005831
63,0.925585,0.961355,0.988125,0.96583,0.982618,1,-0.040245,-0.021263,-0.011875
64,0.971982,0.985792,1,0.978812,0.989293,1,-0.00683,-0.003501,0
65,0.971982,0.985792,1,0.978812,0.989293,1,-0.00683,-0.003501,0
66,0.940847,0.969522,0.963631,0.959455,0.979308,1,-0.018608,-0.009786,-0.036369
67,0.956021,0.977516,1,0.9575,0.978289,1,-0.001479,-0.000773,0
68,0.955144,0.977058,1,0.973354,0.986497,1,-0.01821,-0.009439,0
69,0.942083,0.970178,1,0.959283,0.979218,1,-0.0172,-0.00904,0
70,0.972061,0.985833,1,0.973809,0.986731,1,-0.001748,-0.000898,0
71,0.946816,0.972681,1,0.945124,0.971788,1,0.001692,0.000893,0
72,0.96474,0.982054,1,0.976906,0.988318,1,-0.012166,-0.006264,0
73,0.964592,0.981977,1,0.975155,0.987421,1,-0.010563,-0.005444,0
74,0.973529,0.986587,1,0.973538,0.986592,1,-0.000009,-0.000005,0
75,0.958418,0.978768,1,0.978482,0.989124,1,-0.020064,-0.010356,0
76,0.924938,0.961005,0.994301,0.952847,0.975854,1,-0.027909,-0.014849,-0.005699
