image_id,proposed_iou,proposed_dice,proposed_bf_score,two_stream_iou,two_stream_dice,two_stream_bf_score,diff_iou,diff_dice,diff_bf_score
0,0.964346,0.98185,1,0.976957,0.988344,1,-0.012611,-0.006494,0
1,0.945283,0.971872,1,0.954531,0.976737,1,-0.009248,-0.004865,0
2,0.939778,0.968954,0.933735,0.966762,0.9831,1,-0.026984,-0.014146,-0.066265
3,0.959202,0.979176,1,0.95625,0.977636,1,0.002952,0.00154,0
4,0.944088,0.97124,1,0.952417,0.975629,1,-0.008329,-0.004389,0
5,0.957143,0.978102,1,0.985366,0.992629,1,-0.028223,-0.014527,0
6,0.962838,0.981067,1,0.977144,0.98844,1,-0.014306,-0.007373,0
7,0.934415,0.966096,0.983333,0.965913,0.982661,1,-0.031498,-0.016565,-0.016667
8,0.961085,0.980157,1,0.967337,0.983397,1,-0.006252,-0.00324,0
9,0.949146,0.97391,1,0.958873,0.979005,1,-0.009727,-0.005095,0
10,0.966412,0.982919,1,0.969292,0.984407,1,-0.00288,-0.001488,0
11,0.956571,0.977803,1,0.980288,0.990046,1,-0.023717,-0.012243,0
12,0.983782,0.991825,1,0.972933,0.986281,1,0.010849,0.005544,0
13,0.955213,0.977094,1,0.976078,0.987894,1,-0.020865,-0.0108,0
14,0.911417,0.953656,0.92385,0.926534,0.961866,0.988164,-0.015117,-0.00821,-0.064314
15,0.952413,0.975627,1,0.97096,0.985266,1,-0.018547,-0.009639,0
16,0.958755,0.978943,1,0.974564,0.987118,1,-0.015809,-0.008175,0
17,0.911701,0.953811,0.816151,0.92213,0.959487,0.80983,-0.010429,-0.005676,0.006321
18,0.955252,0.977114,1,0.977099,0.988417,1,-0.021847,-0.011303,0
19,0.970946,0.985259,1,0.943092,0.970713,1,0.027854,0.014546,0
20,0.952741,0.975799,1,0.96594,0.982675,1,-0.013199,-0.006876,0
21,0.942952,0.970638,1,0.953317,0.976101,1,-0.010365,-0.005463,0
22,0.955367,0.977174,0.988165,0.972297,0.985954,1,-0.01693,-0.00878,-0.011835
23,0.959176,0.979162,1,0.980361,0.990083,1,-0.021185,-0.010921,0
24,0.954683,0.976816,1,0.962082,0.980675,1,-0.007399,-0.003859,0
25,0.925302,0.961202,1,0.969886,0.984713,1,-0.044584,-0.023511,0
26,0.971107,0.985342,1,0.976946,0.988339,1,-0.005839,-0.002997,0
27,0.950502,0.974623,1,0.939246,0.968671,0.994412,0.011256,0.005952,0.005588
