image_id,unetpp_prnu_illum_iou,unetpp_prnu_illum_dice,unetpp_prnu_illum_bf_score,unetpp_prnu_freq_iou,unetpp_prnu_freq_dice,unetpp_prnu_freq_bf_score,unetpp_freq_illum_iou,unetpp_freq_illum_dice,unetpp_freq_illum_bf_score,unetpp_all_iou,unetpp_all_dice,unetpp_all_bf_score,notes
0,0.970818,0.985193,1,0.963253,0.981282,1,0.922843,0.959873,0.843979,0.969215,0.984367,1,
1,0.952806,0.975833,1,0.954604,0.976775,1,0.93591,0.966894,1,0.945249,0.971854,1,
2,0.942455,0.970375,0.97887,0.938419,0.968231,0.951807,0.921994,0.959414,1,0.932862,0.965265,0.939759,
3,0.92548,0.961298,0.977545,0.963012,0.981158,1,0.949675,0.974188,1,0.954747,0.97685,1,
4,0.926904,0.962066,1,0.935931,0.966905,1,0.941154,0.969685,1,0.955455,0.97722,1,
5,0.949393,0.97404,1,0.965925,0.982667,1,0.953232,0.976056,0.950525,0.944154,0.971275,1,
6,0.957272,0.97817,1,0.959788,0.979481,1,0.945335,0.971899,1,0.964972,0.982174,1,
7,0.962694,0.980993,1,0.953409,0.976149,1,0.93926,0.968679,1,0.937584,0.967787,0.939227,
8,0.947368,0.972973,1,0.949604,0.974151,1,0.941135,0.969675,1,0.95348,0.976186,1,
9,0.954251,0.97659,1,0.964396,0.981875,1,0.940395,0.969282,1,0.944802,0.971617,1,
10,0.961758,0.980506,1,0.959382,0.97927,1,0.90271,0.948868,0.972601,0.957672,0.978378,1,
11,0.930603,0.964054,0.994131,0.956114,0.977565,1,0.926767,0.961992,0.994286,0.935869,0.966872,1,
12,0.979381,0.989583,1,0.976436,0.988077,1,0.936555,0.967238,1,0.974274,0.986969,1,
13,0.94271,0.97051,0.940065,0.967081,0.983265,1,0.918015,0.957255,0.9942,0.958104,0.978604,1,
14,0.905697,0.950515,0.92238,0.9138,0.954959,0.86477,0.884155,0.938516,0.806536,0.901435,0.948163,0.894858,
15,0.945553,0.972015,1,0.933492,0.965602,0.983286,0.945946,0.972222,1,0.943691,0.97103,1,
16,0.961763,0.980509,1,0.968647,0.984074,1,0.96443,0.981893,1,0.959957,0.979569,1,
17,0.917266,0.956848,0.839626,0.902975,0.949014,0.806381,0.873225,0.932322,0.751527,0.910421,0.95311,0.82296,
18,0.935906,0.966892,0.909316,0.947402,0.972991,0.983908,0.924511,0.960775,0.962962,0.966064,0.982739,1,
19,0.954668,0.976808,0.964649,0.966644,0.983039,1,0.950984,0.974876,1,0.959599,0.979383,1,
20,0.971793,0.985695,1,0.96412,0.981732,1,0.925241,0.961169,1,0.954563,0.976753,1,
21,0.933552,0.965634,1,0.943062,0.970697,1,0.945581,0.972029,1,0.941201,0.96971,1,
22,0.948375,0.973503,1,0.940106,0.969129,0.982353,0.894698,0.944423,0.929618,0.960526,0.979866,1,
23,0.963507,0.981414,1,0.972222,0.985915,1,0.958219,0.978664,1,0.956951,0.978002,1,
24,0.95074,0.974748,1,0.954944,0.976953,1,0.931074,0.964307,0.964458,0.958884,0.97901,1,
25,0.938737,0.968401,1,0.914695,0.955447,0.879464,0.955991,0.9775,1,0.931618,0.964598,1,
26,0.973014,0.986322,1,0.975094,0.98739,1,0.952009,0.975415,1,0.97283,0.986228,1,
27,0.944148,0.971272,0.988764,0.937767,0.967884,1,0.810453,0.895304,0.588996,0.942693,0.970501,1,
28,0.97115,0.985364,1,0.938001,0.968009,0.938263,0.943101,0.970717,1,0.920775,0.958754,0.893855,
29,0.850995,0.9195,0.795389,0.876761,0.934334,0.892429,0.884315,0.938606,0.954406,0.8836,0.938203,0.840652,
30,0.970445,0.985001,1,0.97391,0.986782,1,0.946284,0.972401,1,0.969174,0.984346,1,
31,0.943425,0.970889,0.953146,0.962667,0.980978,1,0.884128,0.938501,0.905218,0.967263,0.983359,1,
32,0.912288,0.954132,0.882129,0.912935,0.954486,0.912779,0.903921,0.949536,0.946245,0.897765,0.946129,0.88171,
33,0.914274,0.955218,0.957561,0.90967,0.952698,0.890978,0.827773,0.905772,0.709596,0.908983,0.952321,0.817722,
34,0.904367,0.949783,0.964384,0.879518,0.935897,0.761684,0.939701,0.968913,1,0.899326,0.946995,0.970722,
35,0.959073,0.979109,1,0.964104,0.981724,1,0.930672,0.964091,1,0.966833,0.983137,1,
36,0.948471,0.973554,1,0.957288,0.978178,1,0.947229,0.972899,0.994536,0.958292,0.978702,1,
37,0.920659,0.958691,1,0.899365,0.947016,0.986476,0.894531,0.94433,0.963151,0.899414,0.947044,0.905921,
