image_id,attenunet_prnu_illum_dice,attenunet_prnu_freq_dice,attenunet_freq_illum_dice,attenunet_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
0,0.977241,0.981918,0.973336,0.976882,-0.000359,-0.005036,0.003546,
1,0.967318,0.965808,0.971785,0.968846,0.001528,0.003038,-0.002939,
2,0.957022,0.9742,0.960848,0.970082,0.01306,-0.004118,0.009234,
3,0.975108,0.976142,0.981327,0.975412,0.000304,-0.00073,-0.005915,
4,0.965989,0.967932,0.967338,0.962571,-0.003418,-0.005361,-0.004767,
5,0.968102,0.979152,0.970391,0.982159,0.014057,0.003007,0.011768,
6,0.974649,0.976279,0.964954,0.973926,-0.000723,-0.002353,0.008972,
7,0.985681,0.970688,0.969686,0.96264,-0.023041,-0.008048,-0.007046,
8,0.972294,0.983856,0.974321,0.983415,0.011121,-0.000441,0.009094,
9,0.987635,0.973048,0.97923,0.9748,-0.012835,0.001752,-0.00443,
10,0.980031,0.976276,0.945504,0.981017,0.000986,0.004741,0.035513,
11,0.965019,0.980452,0.948556,0.979397,0.014378,-0.001055,0.030841,
12,0.989544,0.990901,0.975057,0.988655,-0.000889,-0.002246,0.013598,
13,0.969146,0.983019,0.962991,0.977678,0.008532,-0.005341,0.014687,
14,0.957956,0.943335,0.951145,0.957848,-0.000108,0.014513,0.006703,
15,0.974012,0.958666,0.97343,0.97605,0.002038,0.017384,0.00262,
16,0.975565,0.971525,0.952545,0.974074,-0.001491,0.002549,0.021529,
17,0.943899,0.948523,0.931889,0.953013,0.009114,0.00449,0.021124,
18,0.976414,0.975833,0.976759,0.974142,-0.002272,-0.001691,-0.002617,
19,0.980815,0.983555,0.97363,0.98641,0.005595,0.002855,0.01278,
20,0.975392,0.978616,0.956157,0.976555,0.001163,-0.002061,0.020398,
21,0.97034,0.961654,0.968177,0.971186,0.000846,0.009532,0.003009,
22,0.976726,0.977002,0.963137,0.972113,-0.004613,-0.004889,0.008976,
23,0.987419,0.982261,0.989474,0.9773,-0.010119,-0.004961,-0.012174,
24,0.977409,0.977565,0.946086,0.970368,-0.007041,-0.007197,0.024282,
25,0.959582,0.954941,0.984791,0.957527,-0.002055,0.002586,-0.027264,
26,0.985419,0.977627,0.981499,0.979723,-0.005696,0.002096,-0.001776,
27,0.966133,0.972562,0.883836,0.970913,0.00478,-0.001649,0.087077,
28,0.971233,0.977729,0.976507,0.951069,-0.020164,-0.02666,-0.025438,
