image_id,unetpp_prnu_illum_dice,unetpp_prnu_freq_dice,unetpp_freq_illum_dice,unetpp_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
0,0.985193,0.981282,0.959873,0.984367,-0.000826,0.003085,0.024494,
1,0.975833,0.976775,0.966894,0.971854,-0.003979,-0.004921,0.00496,
2,0.970375,0.968231,0.959414,0.965265,-0.00511,-0.002966,0.005851,
3,0.961298,0.981158,0.974188,0.97685,0.015552,-0.004308,0.002662,
4,0.962066,0.966905,0.969685,0.97722,0.015154,0.010315,0.007535,
5,0.97404,0.982667,0.976056,0.971275,-0.002765,-0.011392,-0.004781,
6,0.97817,0.979481,0.971899,0.982174,0.004004,0.002693,0.010275,
7,0.980993,0.976149,0.968679,0.967787,-0.013206,-0.008362,-0.000892,
8,0.972973,0.974151,0.969675,0.976186,0.003213,0.002035,0.006511,
9,0.97659,0.981875,0.969282,0.971617,-0.004973,-0.010258,0.002335,
10,0.980506,0.97927,0.948868,0.978378,-0.002128,-0.000892,0.02951,
11,0.964054,0.977565,0.961992,0.966872,0.002818,-0.010693,0.00488,
12,0.989583,0.988077,0.967238,0.986969,-0.002614,-0.001108,0.019731,
13,0.97051,0.983265,0.957255,0.978604,0.008094,-0.004661,0.021349,
14,0.950515,0.954959,0.938516,0.948163,-0.002352,-0.006796,0.009647,
15,0.972015,0.965602,0.972222,0.97103,-0.000985,0.005428,-0.001192,
16,0.980509,0.984074,0.981893,0.979569,-0.00094,-0.004505,-0.002324,
17,0.956848,0.949014,0.932322,0.95311,-0.003738,0.004096,0.020788,
18,0.966892,0.972991,0.960775,0.982739,0.015847,0.009748,0.021964,
19,0.976808,0.983039,0.974876,0.979383,0.002575,-0.003656,0.004507,
20,0.985695,0.981732,0.961169,0.976753,-0.008942,-0.004979,0.015584,
21,0.965634,0.970697,0.972029,0.96971,0.004076,-0.000987,-0.002319,
22,0.973503,0.969129,0.944423,0.979866,0.006363,0.010737,0.035443,
23,0.981414,0.985915,0.978664,0.978002,-0.003412,-0.007913,-0.000662,
24,0.974748,0.976953,0.964307,0.97901,0.004262,0.002057,0.014703,
25,0.968401,0.955447,0.9775,0.964598,-0.003803,0.009151,-0.012902,
26,0.986322,0.98739,0.975415,0.986228,-0.000094,-0.001162,0.010813,
27,0.971272,0.967884,0.895304,0.970501,-0.000771,0.002617,0.075197,
28,0.985364,0.968009,0.970717,0.958754,-0.02661,-0.009255,-0.011963,
29,0.9195,0.934334,0.938606,0.938203,0.018703,0.003869,-0.000403,
30,0.985001,0.986782,0.972401,0.984346,-0.000655,-0.002436,0.011945,
31,0.970889,0.980978,0.938501,0.983359,0.01247,0.002381,0.044858,
32,0.954132,0.954486,0.949536,0.946129,-0.008003,-0.008357,-0.003407,
33,0.955218,0.952698,0.905772,0.952321,-0.002897,-0.000377,0.046549,
34,0.949783,0.935897,0.968913,0.946995,-0.002788,0.011098,-0.021918,
35,0.979109,0.981724,0.964091,0.983137,0.004028,0.001413,0.019046,
36,0.973554,0.978178,0.972899,0.978702,0.005148,0.000524,0.005803,
37,0.958691,0.947016,0.94433,0.947044,-0.011647,0.000028,0.002714,
38,0.977426,0.983051,0.973082,0.97761,0.000184,-0.005441,0.004528,
39,0.969481,0.95287,0.91236,0.970694,0.001213,0.017824,0.058334,
40,0.983893,0.979374,0.958222,0.974684,-0.009209,-0.00469,0.016462,
41,0.984398,0.977406,0.985377,0.98155,-0.002848,0.004144,-0.003827,
42,0.961663,0.960471,0.973648,0.961144,-0.000519,0.000673,-0.012504,
43,0.976109,0.980316,0.958702,0.983649,0.00754,0.003333,0.024947,
44,0.975922,0.979265,0.95638,0.987426,0.011504,0.008161,0.031046,
45,0.967004,0.958736,0.971374,0.950334,-0.01667,-0.008402,-0.02104,
46,0.956957,0.933076,0.969333,0.960706,0.003749,0.02763,-0.008627,
47,0.984272,0.982265,0.98339,0.981768,-0.002504,-0.000497,-0.001622,
48,0.972605,0.969476,0.971118,0.978304,0.005699,0.008828,0.007186,
49,0.969089,0.98092,0.972684,0.983535,0.014446,0.002615,0.010851,
50,0.979126,0.974657,0.978076,0.975178,-0.003948,0.000521,-0.002898,
51,0.954435,0.958598,0.925208,0.948377,-0.006058,-0.010221,0.023169,
52,0.986507,0.975808,0.984552,0.9912,0.004693,0.015392,0.006648,
53,0.974793,0.966562,0.930223,0.981044,0.006251,0.014482,0.050821,
54,0.987568,0.983183,0.974477,0.986387,-0.001181,0.003204,0.01191,
55,0.935299,0.960357,0.92893,0.932702,-0.002597,-0.027655,0.003772,
56,0.966009,0.977232,0.979494,0.971745,0.005736,-0.005487,-0.007749,
57,0.973952,0.96268,0.96502,0.974972,0.00102,0.012292,0.009952,
58,0.970201,0.974276,0.983995,0.972183,0.001982,-0.002093,-0.011812,
