image_id,unetpp_iou,unetpp_dice,unetpp_bf_score,attenunet_iou,attenunet_dice,attenunet_bf_score,ensemble_iou,ensemble_dice,ensemble_bf_score,notes
0,0.969215,0.984367,1,0.954808,0.976882,1,0.964346,0.98185,1,
1,0.945249,0.971854,1,0.939574,0.968846,0.904985,0.945283,0.971872,1,
2,0.932862,0.965265,0.939759,0.941902,0.970082,0.933257,0.939778,0.968954,0.933735,
3,0.954747,0.97685,1,0.952004,0.975412,1,0.959202,0.979176,1,
4,0.955455,0.97722,1,0.927843,0.962571,0.9941,0.944088,0.97124,1,
5,0.944154,0.971275,1,0.964943,0.982159,1,0.957143,0.978102,1,
6,0.964972,0.982174,1,0.949176,0.973926,1,0.962838,0.981067,1,
7,0.937584,0.967787,0.939227,0.92797,0.96264,0.983333,0.934415,0.966096,0.983333,
8,0.95348,0.976186,1,0.967372,0.983415,1,0.961085,0.980157,1,
9,0.944802,0.971617,1,0.950838,0.9748,1,0.949146,0.97391,1,
10,0.957672,0.978378,1,0.962741,0.981017,1,0.966412,0.982919,1,
11,0.935869,0.966872,1,0.959626,0.979397,1,0.956571,0.977803,1,
12,0.974274,0.986969,1,0.977565,0.988655,1,0.983782,0.991825,1,
13,0.958104,0.978604,1,0.95633,0.977678,1,0.955213,0.977094,1,
14,0.901435,0.948163,0.894858,0.919106,0.957848,0.964636,0.911417,0.953656,0.92385,
15,0.943691,0.97103,1,0.95322,0.97605,1,0.952413,0.975627,1,
16,0.959957,0.979569,1,0.949458,0.974074,1,0.958755,0.978943,1,
17,0.910421,0.95311,0.82296,0.910242,0.953013,0.797688,0.911701,0.953811,0.816151,
18,0.966064,0.982739,1,0.949588,0.974142,1,0.955252,0.977114,1,
19,0.959599,0.979383,1,0.973184,0.98641,1,0.970946,0.985259,1,
20,0.954563,0.976753,1,0.954184,0.976555,1,0.952741,0.975799,1,
21,0.941201,0.96971,1,0.943987,0.971186,1,0.942952,0.970638,1,
22,0.960526,0.979866,1,0.945739,0.972113,0.982248,0.955367,0.977174,0.988165,
23,0.956951,0.978002,1,0.955608,0.9773,1,0.959176,0.979162,1,
24,0.958884,0.97901,1,0.942442,0.970368,1,0.954683,0.976816,1,
25,0.931618,0.964598,1,0.918516,0.957527,0.971176,0.925302,0.961202,1,
26,0.97283,0.986228,1,0.960253,0.979723,0.965107,0.971107,0.985342,1,
27,0.942693,0.970501,1,0.94347,0.970913,1,0.950502,0.974623,1,
28,0.920775,0.958754,0.893855,0.906703,0.951069,0.86044,0.913205,0.954634,0.899552,
29,0.8836,0.938203,0.840652,0.896637,0.945502,0.898009,0.894423,0.94427,0.901961,
30,0.969174,0.984346,1,0.972572,0.986095,1,0.973053,0.986342,1,
31,0.967263,0.983359,1,0.954927,0.976944,1,0.96374,0.981535,1,
32,0.897765,0.946129,0.88171,0.855838,0.92232,0.745857,0.868167,0.929432,0.782281,
33,0.908983,0.952321,0.817722,0.919841,0.958247,1,0.924182,0.960597,0.969591,
34,0.899326,0.946995,0.970722,0.887988,0.940671,0.869887,0.891111,0.942421,0.934979,
35,0.966833,0.983137,1,0.971613,0.985602,1,0.972372,0.985992,1,
36,0.958292,0.978702,1,0.95919,0.97917,1,0.962358,0.980818,1,
37,0.899414,0.947044,0.905921,0.906189,0.950786,0.88487,0.903969,0.949563,0.892052,
38,0.956202,0.97761,1,0.957221,0.978143,1,0.968198,0.983842,1,
39,0.943057,0.970694,1,0.929327,0.963369,1,0.945407,0.971938,1,
40,0.950617,0.974684,1,0.959518,0.979341,1,0.961422,0.980332,1,
41,0.963768,0.98155,1,0.948431,0.973533,0.994286,0.965855,0.982631,1,
42,0.925194,0.961144,1,0.933508,0.965611,0.955739,0.933965,0.965855,0.972421,
43,0.967824,0.983649,1,0.932287,0.964957,1,0.950219,0.974474,1,
44,0.975164,0.987426,1,0.949577,0.974136,1,0.95883,0.978982,1,
45,0.905367,0.950334,0.870109,0.919582,0.958106,0.936713,0.909996,0.952878,0.858404,
46,0.924383,0.960706,1,0.95045,0.974596,1,0.938161,0.968094,1,
